Artist,Song Title,Album,Year,Top topic,Second topic,third topic,fourth topic,fifth topic
Tupac,Niggaz Nature Remi,Until The End Of Time (Disc Two),2001,society,music,storytelling,music,politics
LL Cool J,Take It[Bonus Track],Authentic,2013,society,storytelling,culture,biology,art
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 '97 Mentality","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,storytelling,society,life,biology,art
Lil Wayne,I'm Good,No Ceilings,2009,life,music,society,biology,art
Nas,K-I-SS-I-N-G,I Am,1999,life,storytelling,society,biology,art
Eminem,Fine Line,Shady XV,2014,society,life,storytelling,biology,art
Slum Village,Selfish,Detroit Deli (A Taste Of Detroit),2004,society,music,life,culture,art
Outkast,Peaches,Idlewild,2006,society,storytelling,life,culture,art
De La Soul,He Comes,The Grind Date,2004,storytelling,society,life,government,art
Kendrick Lamar,She Needs Me,Kendrick Lamar,2009,society,storytelling,life,government,art
Lil Wayne,Family Rules (Skit),"Like Father, Like Son",2006,society,biology,music,government,art
Public Enemy,Fassfood,Most Of My Heroes Still Don't Appear On No Stamp,2012,society,society,biology,life,art
Chance the Rapper,Stranger At The Table,Merry Christmas Lil' Mama,2016,storytelling,society,culture,life,art
Jay-Z,Jigga That Nigga,The Blueprint,2001,life,geography,music,life,art
Kanye West,Spaceship,College Dropout,2004,society,storytelling,music,life,art
Snoop Dogg,A Word Witchya! (Intro),Ego Trippin',2008,society,storytelling,music,life,art
Snoop Dogg,Ain't It Man,That's My Work 3,2014,society,storytelling,religion,life,art
LL Cool J,I'm That Type Of Guy,Walking With The Panther,1989,storytelling,life,society,life,art
Ice Cube,Chrome &amp; Pain,"Laugh Now, Cry Later",2006,storytelling,music,society,life,art
Tupac,There U Go,Better Dayz,2002,society,life,storytelling,life,art
Outkast,Outkast Speakerboxxx  The Love Below Pink &amp; Blue,Speakerboxxx / The Love Below,2003,culture,society,storytelling,life,art
Jay-Z,All Around The World,The Blueprint 2: The Gift &amp; The Curse,2002,music,society,storytelling,life,art
Outkast,Outkast Speakerboxxx  The Love Below Roses,Speakerboxxx / The Love Below,2003,music,society,storytelling,life,art
Public Enemy,Party For Your Right To Figh,It Takes A Nation Of Millions To Hold Us Back,1988,government,society,biology,music,art
Wu-Tang Clan,Left &amp; Righ,Wu-Chronicles: Chapter II,2001,storytelling,society,government,music,art
Jay-Z,Can't Knock The Hustle,Reasonable Doubt,1996,society,life,life,music,art
Wu-Tang Clan,Enlightened Statues,Wu-Tang Chamber Music,2009,geography,society,life,music,art
"Tyler, the Creator",She,Goblin,2011,storytelling,society,life,music,art
A Tribe Called Quest,Pad &amp; Pen,The Love Movement,1998,society,storytelling,life,music,art
Jay-Z,Coming Of Age,Reasonable Doubt,1996,society,storytelling,life,music,art
Tupac,Loyal To The Game (DJ Quik Remix),Loyal To The Game,2004,society,storytelling,life,music,art
LL Cool J,Go Cut Creator Go,Bigger &amp; Deffer,1987,society,society,music,music,art
Coolio,The Revolution,Gangsta's Paradise,1995,society,storytelling,music,music,art
"Tyler, the Creator",BUFFALO,Cherry Bomb,2015,society,storytelling,religion,music,art
Wu-Tang Clan,Take Up Space,Killa Beez: The Sting,2002,life,music,society,music,art
Drake,Right Above I,Young Sweet Jones,2010,society,life,storytelling,music,art
Lil Wayne,Right Above I,I Am Not A Human Being,2010,society,life,storytelling,music,art
Tupac,Picture Me Rollin',All Eyez On Me,1996,society,life,storytelling,music,art
Kendrick Lamar,Institutionalized,To Pimp A Butterfly,2015,society,storytelling,life,religion,art
Jay-Z,Already Home,The Blueprint 3,2009,society,life,music,religion,art
Jay-Z,HAM[Deluxe Edition Bonus Track],Watch The Throne,2011,society,life,music,religion,art
Kanye West,HAM[Deluxe Edition Bonus Track],Watch The Throne,2011,society,life,music,religion,art
"Tyler, the Creator",Nightmare,Goblin,2011,life,storytelling,society,religion,art
Drake,Lord Knows,Take Care,2011,society,life,storytelling,religion,art
Snoop Dogg,Can't Say Goodbye,Ego Trippin',2008,storytelling,society,life,society,art
Lil Wayne,Promise,Da Drought 3,2007,society,storytelling,music,society,art
Lil Wayne,Alphabe,Sorry 4 The Wait 2,2015,society,meanings,religion,society,art
Snoop Dogg,Tru Tank Dogs,"The Game Is To Be Sold, Not To Be Told",1998,society,storytelling,religion,society,art
Wu-Tang Clan,Campfire,8 Diagrams,2007,society,storytelling,society,society,art
Coolio,Is This Me?,Gangsta's Paradise,1995,society,life,storytelling,society,art
Kendrick Lamar,Kendrick Lamar Untitled Unmastered Untitled 06 L 06302014,Untitled Unmastered.,2016,society,math,storytelling,society,art
Ice Cube,AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted,1990,life,storytelling,war,society,art
LL Cool J,It's LL And Santana,Todd Smith,2006,society,music,geography,storytelling,art
Jay-Z,Jay-Z In My Lifetime Vol 1 Lucky Me,In My Lifetime Vol. 1,1997,society,life,government,storytelling,art
Kendrick Lamar,Kendrick Lamar Untitled Unmastered Untitled 08 L 09062014,Untitled Unmastered.,2016,society,life,government,storytelling,art
Nas,Make The World Go Round,Untitled,2008,society,culture,life,storytelling,art
LL Cool J,LL Cool J GOAT (Greatest Of All Time) The GOAT,G.O.A.T. (Greatest Of All Time),2000,society,music,music,storytelling,art
Lil Wayne,Trap House,Sorry 4 The Wait 2,2015,life,society,music,storytelling,art
2 Live Crew,My Seven Bizzos,As Nasty as They Wanna Be,1989,life,society,religion,storytelling,art
Drake,Good Ones Go (Interlude),Take Care,2011,society,life,storytelling,storytelling,art
Jay-Z,2 Many Hoes,The Blueprint 2: The Gift &amp; The Curse,2002,society,life,storytelling,storytelling,art
Coolio,Ghetto Cartoon,It Takes A Thief,1994,life,storytelling,culture,war,art
Lil Wayne,I Took Her,The Drought Is Over Part 4,2007,storytelling,government,life,war,art
A Tribe Called Quest,A Tribe Called Quest We Got It From Here Thank You 4 Your Service Mobius,We Got It From Here... Thank You 4 Your Service,2016,society,music,biology,art,biology
Beastie Boys,Car Thief,Paul's Boutique,1989,storytelling,society,life,art,biology
The Notorius BIG,Playa Hater,Life After Death,1997,storytelling,society,life,art,biology
Tupac,Tupac Strictly 4 My NIGGAZ Pac's Theme (Interlude),Strictly 4 My N.I.G.G.A.Z.,1993,society,society,music,art,biology
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 David Banner","Lil Weezy Ana, Vol.1",2006,life,music,storytelling,art,biology
LL Cool J,Another Dollar,Phenomenon,1997,storytelling,music,art,biology,biology
Eric B & Rakim,In The Ghetto,Let The Rhythm Hit 'Em,1990,society,life,biology,biology,biology
Slum Village,Summer Breeze,Evolution,2013,society,life,biology,biology,biology
Public Enemy,War At 33 13,Fear Of A Black Planet,1990,life,society,biology,biology,biology
Wu-Tang Clan,Dangerous Mindz,Wu-Chronicles: Chapter II,2001,life,storytelling,biology,biology,biology
Jay-Z,Dig A Hole,Kingdom Come,2006,society,biology,geography,biology,biology
De La Soul,Long Island Degrees,Stakes Is High,1996,society,storytelling,geography,biology,biology
LL Cool J,Something About You (Love The World),Authentic,2013,storytelling,society,government,biology,biology
Kanye West,The Morning,Cruel Summer,2012,society,storytelling,government,biology,biology
"Tyler, the Creator",Yellow[Bonus Track],Cherry Bomb,2015,art,art,life,biology,biology
Eminem,The Apple,Straight From The Vault,2011,society,life,life,biology,biology
Public Enemy,Truth Decay,Most Of My Heroes Still Don't Appear On No Stamp,2012,society,life,life,biology,biology
Public Enemy,Don't Give Up The Figh,The Evil Empire Of Everything,2012,society,life,life,biology,biology
Lil Wayne,COLOURS,The Drought Is Over 2 (Carter 3 Sessions),2007,society,society,life,biology,biology
De La Soul,What We Do (For Love),AOI: Bionix,2001,storytelling,society,life,biology,biology
Dr Dre,Lil' Ghetto Boy,The Chronic,1992,storytelling,society,life,biology,biology
